BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area;geo_point_2d
0790462 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5760&street=FRASER%20STREET;5760;FRASER STREET;1;5;"{""coordinates"": [-123.09016753, 49.23226362], ""type"": ""Point""}";Sunset;49.23226362, -123.09016753
6462 Fraser Developments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=6462&street=FRASER%20STREET;6462;FRASER STREET;4;16;"{""coordinates"": [-123.09037135, 49.22585984], ""type"": ""Point""}";Sunset;49.22585984, -123.09037135
Connective Support Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3350&street=FRASER%20STREET;3350;FRASER STREET;3;8;"{""coordinates"": [-123.08947179, 49.25506059], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25506059, -123.08947179
BC Indigenous Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2465&street=FRASER%20STREET;2465;FRASER STREET;1;103;"{""coordinates"": [-123.08970693, 49.26277669], ""type"": ""Point""}";Mount Pleasant;49.26277669, -123.08970693
Christopher Investments Ltd & The Corporate Advisory Group Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1025&street=GILFORD%20STREET;1025;GILFORD STREET;2;49;"{""coordinates"": [-123.14138456, 49.29011083], ""type"": ""Point""}";West End;49.29011083, -123.14138456
EMK Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1010&street=GILFORD%20STREET;1010;GILFORD STREET;1;41;"{""coordinates"": [-123.14029871, 49.29005189], ""type"": ""Point""}";West End;49.29005189, -123.14029871
Gladstone Project Inc.;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4589&street=GLADSTONE%20STREET;4589;GLADSTONE STREET;1;92;;;
Glen Drive Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2325&street=GLEN%20DRIVE;2325;GLEN DRIVE;1;10;"{""coordinates"": [-123.08169527, 49.26400214], ""type"": ""Point""}";Mount Pleasant;49.26400214, -123.08169527
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=341&street=GORE%20AVENUE;341;GORE AVENUE;3;27;"{""coordinates"": [-123.09778996, 49.28159583], ""type"": ""Point""}";Strathcona;49.28159583, -123.09778996
George Fu;http://app.vancouver.ca/RPS_Net/Default.aspx?num=445&street=GORE%20AVENUE;445;GORE AVENUE;4;24;"{""coordinates"": [-123.09763888, 49.28048787], ""type"": ""Point""}";Strathcona;49.28048787, -123.09763888
Fan Tower South Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=609&street=GORE%20AVENUE;609;GORE AVENUE;3;51;"{""coordinates"": [-123.09742793, 49.27916523], ""type"": ""Point""}";Strathcona;49.27916523, -123.09742793
Community Builders Benevolence Group;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1025&street=GRANVILLE%20STREET;1025;GRANVILLE STREET;3;79;"{""coordinates"": [-123.12384062, 49.27910653], ""type"": ""Point""}";Downtown;49.27910653, -123.12384062
Regal Eighty Management Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1046&street=GRANVILLE%20STREET;1046;GRANVILLE STREET;8;82;"{""coordinates"": [-123.12339324, 49.27860382], ""type"": ""Point""}";Downtown;49.27860382, -123.12339324
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1161&street=GRANVILLE%20STREET;1161;GRANVILLE STREET;2;93;"{""coordinates"": [-123.12594954, 49.27771178], ""type"": ""Point""}";Downtown;49.27771178, -123.12594954
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1176&street=GRANVILLE%20STREET;1176;GRANVILLE STREET;7;110;"{""coordinates"": [-123.1253448, 49.27732807], ""type"": ""Point""}";Downtown;49.27732807, -123.1253448
Dranly Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2414&street=GRANVILLE%20STREET;2414;GRANVILLE STREET;1;12;"{""coordinates"": [-123.13812846, 49.2642284], ""type"": ""Point""}";Fairview;49.2642284, -123.13812846
Choo Bros Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2930&street=GRANVILLE%20STREET;2930;GRANVILLE STREET;1;6;"{""coordinates"": [-123.13831253, 49.25931681], ""type"": ""Point""}";Fairview;49.25931681, -123.13831253
Community Builders Benevolence Group;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1306&street=GRANVILLE%20STREET;1306;GRANVILLE STREET;1;43;"{""coordinates"": [-123.12773475, 49.27585292], ""type"": ""Point""}";Downtown;49.27585292, -123.12773475
101181499 SASKATCHEWAN LTD;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8732&street=GRANVILLE%20STREET;8732;GRANVILLE STREET;2;10;"{""coordinates"": [-123.14020494, 49.20662435], ""type"": ""Point""}";Marpole;49.20662435, -123.14020494
0966691 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8747&street=GRANVILLE%20STREET;8747;GRANVILLE STREET;2;13;"{""coordinates"": [-123.14101081, 49.20648121], ""type"": ""Point""}";Marpole;49.20648121, -123.14101081
Siesta Rooms 1995 Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=936&street=GRANVILLE%20STREET;936;GRANVILLE STREET;1;71;"{""coordinates"": [-123.12178316, 49.27967588], ""type"": ""Point""}";Downtown;49.27967588, -123.12178316
Jutta Ahmed;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1130&street=GRANVILLE%20STREET;1130;GRANVILLE STREET;4;6;"{""coordinates"": [-123.12489479, 49.27762118], ""type"": ""Point""}";Downtown;49.27762118, -123.12489479
BC1350175;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8733&street=GRANVILLE%20STREET;8733;GRANVILLE STREET;2;8;"{""coordinates"": [-123.1410079, 49.20666337], ""type"": ""Point""}";Marpole;49.20666337, -123.1410079
William Nemetz Investments Limited;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8770&street=GRANVILLE%20STREET;8770;GRANVILLE STREET;1;47;"{""coordinates"": [-123.1402206, 49.20648489], ""type"": ""Point""}";Marpole;49.20648489, -123.1402206
Riste Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=553&street=HAMILTON%20STREET;553;HAMILTON STREET;6;28;"{""coordinates"": [-123.11229837, 49.28159625], ""type"": ""Point""}";Downtown;49.28159625, -123.11229837
Arkhu Investment Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1122&street=HARO%20STREET;1122;HARO STREET;4;84;"{""coordinates"": [-123.12661468, 49.28399595], ""type"": ""Point""}";West End;49.28399595, -123.12661468
Laurentian Towers Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1636&street=HARO%20STREET;1636;HARO STREET;2;41;"{""coordinates"": [-123.13424156, 49.28891573], ""type"": ""Point""}";West End;49.28891573, -123.13424156
Plan A - 1431 Haro Street Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1431&street=HARO%20STREET;1431;HARO STREET;4;6;"{""coordinates"": [-123.13125854, 49.28772913], ""type"": ""Point""}";West End;49.28772913, -123.13125854
IMH 1629 Haro Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1629&street=HARO%20STREET;1629;HARO STREET;1;40;"{""coordinates"": [-123.13367947, 49.28930049], ""type"": ""Point""}";West End;49.28930049, -123.13367947
IMH 1755 Haro Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1755&street=HARO%20STREET;1755;HARO STREET;2;137;"{""coordinates"": [-123.13554165, 49.29053218], ""type"": ""Point""}";West End;49.29053218, -123.13554165
Mason Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1955&street=HARO%20STREET;1955;HARO STREET;1;70;"{""coordinates"": [-123.13878984, 49.29260655], ""type"": ""Point""}";West End;49.29260655, -123.13878984
Haro Towers Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1131&street=HARO%20STREET;1131;HARO STREET;1;12;"{""coordinates"": [-123.12654299, 49.28467427], ""type"": ""Point""}";West End;49.28467427, -123.12654299
Westsea Construction Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1330&street=HARWOOD%20STREET;1330;HARWOOD STREET;1;78;"{""coordinates"": [-123.13807183, 49.28164678], ""type"": ""Point""}";West End;49.28164678, -123.13807183
James F Wong & Mary S Wong;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1225&street=HARWOOD%20STREET;1225;HARWOOD STREET;2;6;"{""coordinates"": [-123.13582751, 49.28093277], ""type"": ""Point""}";West End;49.28093277, -123.13582751
Harwood Place Apartments Limited;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1122&street=HARWOOD%20STREET;1122;HARWOOD STREET;2;39;"{""coordinates"": [-123.13429324, 49.27920733], ""type"": ""Point""}";West End;49.27920733, -123.13429324
Otrun Kneifel & Walter Kneifel;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2820&street=HEATHER%20STREET;2820;HEATHER STREET;1;20;"{""coordinates"": [-123.11974713, 49.26017973], ""type"": ""Point""}";Fairview;49.26017973, -123.11974713
Netty Prosterman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8575&street=HEATHER%20STREET;8575;HEATHER STREET;4;21;"{""coordinates"": [-123.1248658, 49.20861461], ""type"": ""Point""}";Marpole;49.20861461, -123.1248658
Fairbridge Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8666&street=HEATHER%20STREET;8666;HEATHER STREET;5;23;"{""coordinates"": [-123.12385254, 49.20771083], ""type"": ""Point""}";Marpole;49.20771083, -123.12385254
Mona Lee;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2555&street=HEMLOCK%20STREET;2555;HEMLOCK STREET;3;24;"{""coordinates"": [-123.13647939, 49.26284872], ""type"": ""Point""}";Fairview;49.26284872, -123.13647939
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1119&street=HORNBY%20STREET;1119;HORNBY STREET;11;87;;;
McLaren Housing Society of British Columbia;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1249&street=HOWE%20STREET;1249;HOWE STREET;1;110;"{""coordinates"": [-123.12818713, 49.27749639], ""type"": ""Point""}";Downtown;49.27749639, -123.12818713
