BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area;geo_point_2d
Metro Maywood Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8938&street=MONTCALM%20STREET;8938;MONTCALM STREET;13;20;"{""coordinates"": [-123.1363222, 49.20422785], ""type"": ""Point""}";Marpole;49.20422785, -123.1363222
675000 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8770&street=MONTCALM%20STREET;8770;MONTCALM STREET;1;21;"{""coordinates"": [-123.13580277, 49.20601088], ""type"": ""Point""}";Marpole;49.20601088, -123.13580277
8860 Montcalm Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8860&street=MONTCALM%20STREET;8860;MONTCALM STREET;1;24;"{""coordinates"": [-123.13585114, 49.20514234], ""type"": ""Point""}";Marpole;49.20514234, -123.13585114
Frank Chi-Hung Lee (Frank Lee);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1747&street=NANAIMO%20STREET;1747;NANAIMO STREET;4;5;"{""coordinates"": [-123.0570091, 49.26892851], ""type"": ""Point""}";Grandview-Woodland;49.26892851, -123.0570091
Industrial Alliance Insurance and Financial Services Inc.;http://app.vancouver.ca/RPS_Net/Default.aspx?num=200&street=NELSON%20STREET;200;NELSON STREET;1;9;"{""coordinates"": [-123.11892167, 49.27587844], ""type"": ""Point""}";Downtown;49.27587844, -123.11892167
Itziar Management Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1424&street=NELSON%20STREET;1424;NELSON STREET;4;139;"{""coordinates"": [-123.13381107, 49.28585517], ""type"": ""Point""}";West End;49.28585517, -123.13381107
1294668 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1955&street=NELSON%20STREET;1955;NELSON STREET;1;11;"{""coordinates"": [-123.140712, 49.29107188], ""type"": ""Point""}";West End;49.29107188, -123.140712
1260 Nelson Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1260&street=NELSON%20STREET;1260;NELSON STREET;1;107;"{""coordinates"": [-123.13165589, 49.28444947], ""type"": ""Point""}";West End;49.28444947, -123.13165589
Westsea Construction Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1644&street=NELSON%20STREET;1644;NELSON STREET;4;276;"{""coordinates"": [-123.13638973, 49.28752662], ""type"": ""Point""}";West End;49.28752662, -123.13638973
Shelmarjay Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1735&street=NELSON%20STREET;1735;NELSON STREET;1;62;"{""coordinates"": [-123.13737457, 49.28890757], ""type"": ""Point""}";West End;49.28890757, -123.13737457
Wesley Place Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1022&street=NELSON%20STREET;1022;NELSON STREET;2;198;"{""coordinates"": [-123.12729773, 49.28165524], ""type"": ""Point""}";West End;49.28165524, -123.12729773
Westwood Apartment Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1873&street=NELSON%20STREET;1873;NELSON STREET;10;42;"{""coordinates"": [-123.13954106, 49.29031051], ""type"": ""Point""}";West End;49.29031051, -123.13954106
Plan A-1925 Nelson St Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1925&street=NELSON%20STREET;1925;NELSON STREET;7;21;"{""coordinates"": [-123.14032429, 49.29081824], ""type"": ""Point""}";West End;49.29081824, -123.14032429
Canada Life Assurance Co;http://app.vancouver.ca/RPS_Net/Default.aspx?num=825&street=NICOLA%20STREET;825;NICOLA STREET;1;128;;;
V A B 19930 Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1093&street=NICOLA%20STREET;1093;NICOLA STREET;1;6;"{""coordinates"": [-123.13596472, 49.28575347], ""type"": ""Point""}";West End;49.28575347, -123.13596472
HWP 852 Nicola Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=852&street=NICOLA%20STREET;852;NICOLA STREET;1;16;"{""coordinates"": [-123.1317802, 49.28795926], ""type"": ""Point""}";West End;49.28795926, -123.1317802
Dranly Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1250&street=NICOLA%20STREET;1250;NICOLA STREET;3;26;"{""coordinates"": [-123.13806622, 49.28379391], ""type"": ""Point""}";West End;49.28379391, -123.13806622
Kenson Investments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3030&street=OAK%20STREET;3030;OAK STREET;1;20;"{""coordinates"": [-123.12650305, 49.25844582], ""type"": ""Point""}";Fairview;49.25844582, -123.12650305
473788 B C Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3108&street=OAK%20STREET;3108;OAK STREET;4;22;"{""coordinates"": [-123.12682456, 49.25762375], ""type"": ""Point""}";Fairview;49.25762375, -123.12682456
British Columbia Easter Seal Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3981&street=OAK%20STREET;3981;OAK STREET;5;49;"{""coordinates"": [-123.12801316, 49.25015411], ""type"": ""Point""}";Shaughnessy;49.25015411, -123.12801316
Kwong L Tung & Mary L Tung;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2596&street=OAK%20STREET;2596;OAK STREET;2;11;"{""coordinates"": [-123.12636424, 49.26268095], ""type"": ""Point""}";Fairview;49.26268095, -123.12636424
Golden Pacific Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2925&street=OAK%20STREET;2925;OAK STREET;1;7;"{""coordinates"": [-123.12702896, 49.25937264], ""type"": ""Point""}";Fairview;49.25937264, -123.12702896
Ronald J Schuss Et Al (Ronald Schuss);http://app.vancouver.ca/RPS_Net/Default.aspx?num=3411&street=OAK%20STREET;3411;OAK STREET;4;15;"{""coordinates"": [-123.12773313, 49.25515397], ""type"": ""Point""}";Shaughnessy;49.25515397, -123.12773313
William Squibb;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1862&street=PARKER%20STREET;1862;PARKER STREET;4;5;"{""coordinates"": [-123.0661524, 49.27546075], ""type"": ""Point""}";Grandview-Woodland;49.27546075, -123.0661524
Coast Foundation Society (1974);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1188&street=PENDRELL%20STREET;1188;PENDRELL STREET;1;31;"{""coordinates"": [-123.13218028, 49.28215354], ""type"": ""Point""}";West End;49.28215354, -123.13218028
Pendrell 1325 Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1325&street=PENDRELL%20STREET;1325;PENDRELL STREET;2;20;"{""coordinates"": [-123.13398928, 49.28393673], ""type"": ""Point""}";West End;49.28393673, -123.13398928
Thomas Downie Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1445&street=PENDRELL%20STREET;1445;PENDRELL STREET;1;43;"{""coordinates"": [-123.13576132, 49.28508111], ""type"": ""Point""}";West End;49.28508111, -123.13576132
Bosa Properties (Thurlow) Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1108&street=PENDRELL%20STREET;1108;PENDRELL STREET;3;162;"{""coordinates"": [-123.13073597, 49.28109311], ""type"": ""Point""}";West End;49.28109311, -123.13073597
Pendrellis Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1254&street=PENDRELL%20STREET;1254;PENDRELL STREET;5;87;"{""coordinates"": [-123.13344925, 49.28280452], ""type"": ""Point""}";West End;49.28280452, -123.13344925
Plan A - 1168 Pendrell St Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1168&street=PENDRELL%20STREET;1168;PENDRELL STREET;1;28;"{""coordinates"": [-123.13200871, 49.28190481], ""type"": ""Point""}";West End;49.28190481, -123.13200871
Elisabeth Yee;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1775&street=PENDRELL%20STREET;1775;PENDRELL STREET;7;19;"{""coordinates"": [-123.14008539, 49.28788565], ""type"": ""Point""}";West End;49.28788565, -123.14008539
Maiway Investment Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4195&street=PERRY%20STREET;4195;PERRY STREET;1;10;"{""coordinates"": [-123.07170484, 49.24789936], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24789936, -123.07170484
West Broadway Centre Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2527&street=PINE%20STREET;2527;PINE STREET;4;51;"{""coordinates"": [-123.14426461, 49.26337957], ""type"": ""Point""}";Fairview;49.26337957, -123.14426461
Richard Maurice Desilets (Richard Desilets);http://app.vancouver.ca/RPS_Net/Default.aspx?num=2456&street=POINT%20GREY%20ROAD;2456;POINT GREY ROAD;1;14;"{""coordinates"": [-123.16098993, 49.27329351], ""type"": ""Point""}";Kitsilano;49.27329351, -123.16098993
55 Powell St Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=55&street=POWELL%20STREET;55;POWELL STREET;2;25;"{""coordinates"": [-123.10281941, 49.28343487], ""type"": ""Point""}";Downtown;49.28343487, -123.10281941
The Bloom Group Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=329&street=POWELL%20STREET;329;POWELL STREET;1;36;"{""coordinates"": [-123.09696743, 49.28339069], ""type"": ""Point""}";Strathcona;49.28339069, -123.09696743
The Bloom Group Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=377&street=POWELL%20STREET;377;POWELL STREET;6;31;"{""coordinates"": [-123.09593061, 49.2833689], ""type"": ""Point""}";Strathcona;49.2833689, -123.09593061
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=403&street=POWELL%20STREET;403;POWELL STREET;2;28;"{""coordinates"": [-123.09506057, 49.28335605], ""type"": ""Point""}";Strathcona;49.28335605, -123.09506057
UVHS Urban Vision Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=134&street=POWELL%20STREET;134;POWELL STREET;2;57;"{""coordinates"": [-123.10107981, 49.28296327], ""type"": ""Point""}";Downtown;49.28296327, -123.10107981
The Bloom Group Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=250&street=POWELL%20STREET;250;POWELL STREET;3;96;"{""coordinates"": [-123.09858031, 49.28271871], ""type"": ""Point""}";Strathcona;49.28271871, -123.09858031
0921667 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=259&street=POWELL%20STREET;259;POWELL STREET;4;35;"{""coordinates"": [-123.09810511, 49.28341114], ""type"": ""Point""}";Strathcona;49.28341114, -123.09810511
0781178 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=316&street=POWELL%20STREET;316;POWELL STREET;10;79;"{""coordinates"": [-123.09719122, 49.28288165], ""type"": ""Point""}";Strathcona;49.28288165, -123.09719122
Cheng Hing Kai (Cheng Kai);http://app.vancouver.ca/RPS_Net/Default.aspx?num=326&street=POWELL%20STREET;326;POWELL STREET;2;39;"{""coordinates"": [-123.09698152, 49.28287778], ""type"": ""Point""}";Strathcona;49.28287778, -123.09698152
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=POWELL%20STREET;1516;POWELL STREET;9;101;"{""coordinates"": [-123.07335302, 49.28298396], ""type"": ""Point""}";Grandview-Woodland;49.28298396, -123.07335302
Port Town Investments (Nominee) Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1895&street=POWELL%20STREET;1895;POWELL STREET;1;41;"{""coordinates"": [-123.06610861, 49.28485538], ""type"": ""Point""}";Grandview-Woodland;49.28485538, -123.06610861
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=111&street=PRINCESS%20AVENUE;111;PRINCESS AVENUE;2;139;"{""coordinates"": [-123.09179574, 49.28368398], ""type"": ""Point""}";Strathcona;49.28368398, -123.09179574
Raincity Housing and Support Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=220&street=PRINCESS%20AVENUE;220;PRINCESS AVENUE;7;147;"{""coordinates"": [-123.09089702, 49.2827536], ""type"": ""Point""}";Strathcona;49.2827536, -123.09089702
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=375&street=PRINCESS%20AVENUE;375;PRINCESS AVENUE;1;46;"{""coordinates"": [-123.09168097, 49.28148382], ""type"": ""Point""}";Strathcona;49.28148382, -123.09168097
Rossmore Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=321&street=RAILWAY%20STREET;321;RAILWAY STREET;2;45;"{""coordinates"": [-123.09764498, 49.28463626], ""type"": ""Point""}";Strathcona;49.28463626, -123.09764498
Trasolini & Eng Construction Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=854&street=RENFREW%20STREET;854;RENFREW STREET;1;5;"{""coordinates"": [-123.04364122, 49.27692078], ""type"": ""Point""}";Hastings-Sunrise;49.27692078, -123.04364122
Coast Foundation Society (1974);http://app.vancouver.ca/RPS_Net/Default.aspx?num=788&street=RICHARDS%20STREET;788;RICHARDS STREET;11;46;"{""coordinates"": [-123.11719556, 49.28038982], ""type"": ""Point""}";Downtown;49.28038982, -123.11719556
Plan A - 440 Richards St Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=440&street=RICHARDS%20STREET;440;RICHARDS STREET;2;10;"{""coordinates"": [-123.11251685, 49.28340384], ""type"": ""Point""}";Downtown;49.28340384, -123.11251685
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=518&street=RICHARDS%20STREET;518;RICHARDS STREET;8;148;"{""coordinates"": [-123.1132548, 49.28278806], ""type"": ""Point""}";Downtown;49.28278806, -123.1132548
1011 Richelieu Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1011&street=RICHELIEU%20AVENUE;1011;RICHELIEU AVENUE;1;6;"{""coordinates"": [-123.12768975, 49.25617319], ""type"": ""Point""}";Shaughnessy;49.25617319, -123.12768975
Jack Eng;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1030&street=ROBSON%20STREET;1030;ROBSON STREET;2;8;"{""coordinates"": [-123.12378721, 49.28354253], ""type"": ""Point""}";West End;49.28354253, -123.12378721
DVP Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1208&street=SALSBURY%20DRIVE;1208;SALSBURY DRIVE;3;5;"{""coordinates"": [-123.0672662, 49.273649], ""type"": ""Point""}";Grandview-Woodland;49.273649, -123.0672662
629623 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1100&street=SALSBURY%20DRIVE;1100;SALSBURY DRIVE;2;12;"{""coordinates"": [-123.0671286, 49.27456794], ""type"": ""Point""}";Grandview-Woodland;49.27456794, -123.0671286
Capreit Fraser Flats Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3688&street=SAWMILL%20CRESCENT;3688;SAWMILL CRESCENT;1;154;"{""coordinates"": [-123.02466915, 49.20597019], ""type"": ""Point""}";Killarney;49.20597019, -123.02466915
Maicaic Enterprise Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8623&street=SELKIRK%20STREET;8623;SELKIRK STREET;1;31;"{""coordinates"": [-123.13369053, 49.20821592], ""type"": ""Point""}";Marpole;49.20821592, -123.13369053
Fred West Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8741&street=SELKIRK%20STREET;8741;SELKIRK STREET;3;18;"{""coordinates"": [-123.13375327, 49.20626299], ""type"": ""Point""}";Marpole;49.20626299, -123.13375327
KINGVIC HOLDING LTD.;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4580&street=SIDNEY%20STREET;4580;SIDNEY STREET;3;10;"{""coordinates"": [-123.06332183, 49.24462656], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24462656, -123.06332183
CAPREIT APARTMENTS INC;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4320&street=SLOCAN%20STREET;4320;SLOCAN STREET;4;41;"{""coordinates"": [-123.04919417, 49.24594726], ""type"": ""Point""}";Renfrew-Collingwood;49.24594726, -123.04919417
Quong Holdings Ltd & Glenn W Quong;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2930&street=SPRUCE%20STREET;2930;SPRUCE STREET;2;16;"{""coordinates"": [-123.128899, 49.25940472], ""type"": ""Point""}";Fairview;49.25940472, -123.128899
Hyung Kim & Ae Kim;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2502&street=ST.%20GEORGE%20STREET;2502;ST. GEORGE STREET;1;12;"{""coordinates"": [-123.09275874, 49.26218927], ""type"": ""Point""}";Mount Pleasant;49.26218927, -123.09275874
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1005&street=STATION%20STREET;1005;STATION STREET;1;80;"{""coordinates"": [-123.09948683, 49.2756775], ""type"": ""Point""}";Strathcona;49.2756775, -123.09948683
Jim Bonnis;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2490&street=STEPHENS%20STREET;2490;STEPHENS STREET;1;30;"{""coordinates"": [-123.16617064, 49.26429057], ""type"": ""Point""}";Kitsilano;49.26429057, -123.16617064
1199248 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2266&street=TRINITY%20STREET;2266;TRINITY STREET;1;20;"{""coordinates"": [-123.05812743, 49.28906098], ""type"": ""Point""}";Grandview-Woodland;49.28906098, -123.05812743
No 88 Taurus Ventures Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2155&street=TRIUMPH%20STREET;2155;TRIUMPH STREET;1;37;"{""coordinates"": [-123.06035033, 49.28415652], ""type"": ""Point""}";Grandview-Woodland;49.28415652, -123.06035033
1220621 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1775&street=VENABLES%20STREET;1775;VENABLES STREET;3;12;"{""coordinates"": [-123.06898832, 49.27690621], ""type"": ""Point""}";Grandview-Woodland;49.27690621, -123.06898832
Hawthorne Charitable Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1824&street=VENABLES%20STREET;1824;VENABLES STREET;1;7;"{""coordinates"": [-123.06696161, 49.27636563], ""type"": ""Point""}";Grandview-Woodland;49.27636563, -123.06696161
Rosalee McRae & Brian Naphtali;http://app.vancouver.ca/RPS_Net/Default.aspx?num=910&street=VICTORIA%20DRIVE;910;VICTORIA DRIVE;1;6;"{""coordinates"": [-123.06533946, 49.27643315], ""type"": ""Point""}";Grandview-Woodland;49.27643315, -123.06533946
John Engleman & Penelope Engleman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1110&street=VICTORIA%20DRIVE;1110;VICTORIA DRIVE;1;9;"{""coordinates"": [-123.06529432, 49.27458287], ""type"": ""Point""}";Grandview-Woodland;49.27458287, -123.06529432
1027787 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=675&street=VICTORIA%20DRIVE;675;VICTORIA DRIVE;2;7;"{""coordinates"": [-123.06590798, 49.27866687], ""type"": ""Point""}";Grandview-Woodland;49.27866687, -123.06590798
Daniel Chorney;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1186&street=VICTORIA%20DRIVE;1186;VICTORIA DRIVE;1;6;"{""coordinates"": [-123.06536145, 49.27397432], ""type"": ""Point""}";Grandview-Woodland;49.27397432, -123.06536145
Thomas Chan;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2816&street=VICTORIA%20DRIVE;2816;VICTORIA DRIVE;2;5;"{""coordinates"": [-123.06556134, 49.25920193], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25920193, -123.06556134
Dr Jamuna L Makhija Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4975&street=VICTORIA%20DRIVE;4975;VICTORIA DRIVE;4;6;"{""coordinates"": [-123.06576963, 49.23950463], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23950463, -123.06576963
King Day Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5179&street=VICTORIA%20DRIVE;5179;VICTORIA DRIVE;1;5;"{""coordinates"": [-123.06580374, 49.23775679], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23775679, -123.06580374
Jordan Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1615&street=VINE%20STREET;1615;VINE STREET;1;17;"{""coordinates"": [-123.15784708, 49.27147712], ""type"": ""Point""}";Kitsilano;49.27147712, -123.15784708
Jean Matheson;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5450&street=VINE%20STREET;5450;VINE STREET;3;69;"{""coordinates"": [-123.15946059, 49.23683173], ""type"": ""Point""}";Arbutus Ridge;49.23683173, -123.15946059
Yee Sun (Sandy) Chow & Siu Hing (Cecilla) Chow;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1622&street=VINE%20STREET;1622;VINE STREET;2;8;"{""coordinates"": [-123.1571472, 49.27146546], ""type"": ""Point""}";Kitsilano;49.27146546, -123.1571472
Ajmer Singh Siddoo (Ajmer Siddoo);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1755&street=VINE%20STREET;1755;VINE STREET;2;11;"{""coordinates"": [-123.15768183, 49.27021927], ""type"": ""Point""}";Kitsilano;49.27021927, -123.15768183
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=265&street=W%201ST%20AVENUE;265;W 1ST AVENUE;2;52;;;
Jennifer Burke;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3522&street=W%201ST%20AVENUE;3522;W 1ST AVENUE;2;5;"{""coordinates"": [-123.18223781, 49.27098267], ""type"": ""Point""}";Kitsilano;49.27098267, -123.18223781
Chun-Han Yen & Chih-Hsien Yen;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2505&street=W%202ND%20AVENUE;2505;W 2ND AVENUE;2;5;"{""coordinates"": [-123.16242454, 49.27029318], ""type"": ""Point""}";Kitsilano;49.27029318, -123.16242454
Lawrence Jakerov;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2997&street=W%202ND%20AVENUE;2997;W 2ND AVENUE;4;5;"{""coordinates"": [-123.17187467, 49.27043991], ""type"": ""Point""}";Kitsilano;49.27043991, -123.17187467
2072 W. 3rd Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2072&street=W%203RD%20AVENUE;2072;W 3RD AVENUE;1;10;"{""coordinates"": [-123.15224993, 49.2687376], ""type"": ""Point""}";Kitsilano;49.2687376, -123.15224993
Zoron Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2355&street=W%203RD%20AVENUE;2355;W 3RD AVENUE;1;10;"{""coordinates"": [-123.15877285, 49.26935061], ""type"": ""Point""}";Kitsilano;49.26935061, -123.15877285
Susan Sally & Martin Sally;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2035&street=W%203RD%20AVENUE;2035;W 3RD AVENUE;2;13;"{""coordinates"": [-123.15109197, 49.26922791], ""type"": ""Point""}";Kitsilano;49.26922791, -123.15109197
Milip Investment Co (Vancouver) Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2066&street=W%203RD%20AVENUE;2066;W 3RD AVENUE;1;13;"{""coordinates"": [-123.15204306, 49.26873473], ""type"": ""Point""}";Kitsilano;49.26873473, -123.15204306
Tsoromocos Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2165&street=W%204TH%20AVENUE;2165;W 4TH AVENUE;2;8;"{""coordinates"": [-123.15412456, 49.26841012], ""type"": ""Point""}";Kitsilano;49.26841012, -123.15412456
Kit S Hung & Shuk Y Hung;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2754&street=W%204TH%20AVENUE;2754;W 4TH AVENUE;9;8;"{""coordinates"": [-123.16748536, 49.2680833], ""type"": ""Point""}";Kitsilano;49.2680833, -123.16748536
Coco &Talib Estates Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3548&street=W%204TH%20AVENUE;3548;W 4TH AVENUE;1;5;"{""coordinates"": [-123.18286782, 49.26831191], ""type"": ""Point""}";Kitsilano;49.26831191, -123.18286782
HWP 2629 4th Avenue Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2629&street=W%204TH%20AVENUE;2629;W 4TH AVENUE;1;10;"{""coordinates"": [-123.16518154, 49.26857421], ""type"": ""Point""}";Kitsilano;49.26857421, -123.16518154
Posthouse Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3670&street=W%205TH%20AVENUE;3670;W 5TH AVENUE;1;26;"{""coordinates"": [-123.18545425, 49.26749058], ""type"": ""Point""}";Kitsilano;49.26749058, -123.18545425
Mike Kefalas & Anna Kefalas;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2545&street=W%205TH%20AVENUE;2545;W 5TH AVENUE;1;6;"{""coordinates"": [-123.16336613, 49.26769571], ""type"": ""Point""}";Kitsilano;49.26769571, -123.16336613
Dr Michael K Ma & Annie Ma;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2154&street=W%205TH%20AVENUE;2154;W 5TH AVENUE;2;7;"{""coordinates"": [-123.15410231, 49.26701093], ""type"": ""Point""}";Kitsilano;49.26701093, -123.15410231
0734358 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2292&street=W%206TH%20AVENUE;2292;W 6TH AVENUE;3;6;"{""coordinates"": [-123.15737039, 49.2663071], ""type"": ""Point""}";Kitsilano;49.2663071, -123.15737039
Anfrid Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=14&street=W%206TH%20AVENUE;14;W 6TH AVENUE;1;5;"{""coordinates"": [-123.10529186, 49.26531984], ""type"": ""Point""}";Mount Pleasant;49.26531984, -123.10529186
Bartizan Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2235&street=W%206TH%20AVENUE;2235;W 6TH AVENUE;3;20;"{""coordinates"": [-123.15629227, 49.26671517], ""type"": ""Point""}";Kitsilano;49.26671517, -123.15629227
Rio Lane Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2285&street=W%206TH%20AVENUE;2285;W 6TH AVENUE;1;20;"{""coordinates"": [-123.15713146, 49.26672841], ""type"": ""Point""}";Kitsilano;49.26672841, -123.15713146
Surefreeze Refrigeration & Air Condition Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=361&street=W%207TH%20AVENUE;361;W 7TH AVENUE;4;8;"{""coordinates"": [-123.11228477, 49.26505724], ""type"": ""Point""}";Mount Pleasant;49.26505724, -123.11228477
1079798 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1455&street=W%208TH%20AVENUE;1455;W 8TH AVENUE;1;25;"{""coordinates"": [-123.13735634, 49.2647434], ""type"": ""Point""}";Fairview;49.2647434, -123.13735634
1411528 B.C. LTD;http://app.vancouver.ca/RPS_Net/Default.aspx?num=821&street=W%2010TH%20AVENUE;821;W 10TH AVENUE;4;12;"{""coordinates"": [-123.12252534, 49.26262438], ""type"": ""Point""}";Fairview;49.26262438, -123.12252534
Mattan Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=955&street=W%2010TH%20AVENUE;955;W 10TH AVENUE;5;23;"{""coordinates"": [-123.12531689, 49.26266681], ""type"": ""Point""}";Fairview;49.26266681, -123.12531689
Unicam Developments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1596&street=W%2010TH%20AVENUE;1596;W 10TH AVENUE;2;8;"{""coordinates"": [-123.14062608, 49.26239197], ""type"": ""Point""}";Fairview;49.26239197, -123.14062608
Mason Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4660&street=W%2010TH%20AVENUE;4660;W 10TH AVENUE;1;73;"{""coordinates"": [-123.21444619, 49.26362541], ""type"": ""Point""}";West Point Grey;49.26362541, -123.21444619
